성별,연령대,몸무게,운동경력,운동목적,운동종목,추천무게(kg),추천횟수,추천세트수,쉬는시간(초)
여성,40대,54.5,초보자,재활/건강,사이드 레터럴 레이즈,5.0,20,2,105
여성,50대,51.8,초보자,다이어트,숄더 프레스 머신,10.0,15,3,57
남성,10대,79.4,상급자,재활/건강,레그 컬 머신,50.0,17,3,96
남성,10대,67.5,초보자,근비대,사이드 레터럴 레이즈,20.0,10,3,86
여성,30대,51.5,상급자,재활/건강,사이드 레터럴 레이즈,17.5,20,3,110
남성,50대,89.4,중급자,근비대,바벨 로우,57.5,10,4,77
여성,10대,57.6,초보자,재활/건강,어시스트 풀업 머신,7.5,20,3,119
여성,50대,42.1,초보자,스트렝스,어시스트 풀업 머신,15.0,5,4,128
남성,30대,70.6,상급자,다이어트,벤치프레스,45.0,15,3,45
남성,30대,63.5,초보자,근비대,루마니안 데드리프트,20.0,9,3,90
여성,50대,69.6,초보자,근비대,레그 프레스 머신,20.0,9,3,75
여성,60대 이상,49.0,중급자,재활/건강,랫 풀다운 머신,12.5,17,3,99
여성,20대,59.7,중급자,다이어트,레그 프레스 머신,25.0,18,3,54
여성,40대,39.8,상급자,근비대,인클라인 덤벨 프레스,25.0,12,3,88
남성,30대,78.7,초보자,근비대,바벨 로우,25.0,11,4,68
여성,30대,65.8,초보자,스트렝스,루마니안 데드리프트,15.0,3,5,132
여성,50대,39.5,초보자,근비대,바벨 스쿼트,7.5,8,3,68
남성,10대,68.6,상급자,근비대,바벨 로우,60.0,12,4,79
남성,60대 이상,80.5,상급자,근비대,레그 익스텐션 머신,112.5,9,4,70
여성,30대,52.6,상급자,다이어트,레그 익스텐션 머신,35.0,16,3,60
남성,10대,76.1,초보자,스트렝스,벤치프레스,27.5,4,5,145
남성,50대,66.8,상급자,다이어트,어시스트 풀업 머신,67.5,17,3,40
남성,50대,79.6,초보자,근비대,벤치프레스,22.5,10,4,85
남성,30대,85.2,중급자,스트렝스,펙덱 플라이 머신,87.5,4,4,146
여성,20대,56.8,초보자,스트렝스,바벨 스쿼트,12.5,4,4,122
여성,60대 이상,47.5,초보자,근비대,바벨 로우,10.0,8,4,62
여성,40대,51.8,중급자,재활/건강,사이드 레터럴 레이즈,10.0,16,2,94
여성,20대,57.1,상급자,재활/건강,어시스트 풀업 머신,25.0,16,3,107
여성,20대,52.0,상급자,재활/건강,체스트 프레스 머신,22.5,16,2,94
여성,40대,51.4,초보자,근비대,체스트 프레스 머신,15.0,8,4,90
남성,60대 이상,83.9,중급자,재활/건강,펙덱 플라이 머신,40.0,20,3,119
여성,40대,68.5,초보자,재활/건강,워킹 런지,7.5,18,2,114
남성,50대,64.5,중급자,스트렝스,체스트 프레스 머신,70.0,5,5,170
남성,30대,85.5,초보자,다이어트,워킹 런지,17.5,20,3,58
여성,50대,57.6,중급자,재활/건강,숄더 프레스 머신,17.5,18,2,97
남성,50대,76.1,초보자,재활/건강,인클라인 덤벨 프레스,10.0,17,3,103
남성,10대,79.1,초보자,스트렝스,레그 익스텐션 머신,45.0,3,5,152
남성,60대 이상,90.4,초보자,스트렝스,루마니안 데드리프트,32.5,5,4,121
남성,20대,60.2,초보자,다이어트,사이드 레터럴 레이즈,15.0,18,3,60
남성,60대 이상,93.6,중급자,근비대,벤치프레스,57.5,12,3,90
남성,50대,87.9,상급자,스트렝스,루마니안 데드리프트,95.0,3,5,135
남성,60대 이상,98.7,상급자,다이어트,오버헤드 프레스,65.0,20,3,55
여성,40대,42.7,상급자,스트렝스,바벨 스쿼트,30.0,3,4,130
여성,30대,48.4,초보자,다이어트,시티드 로우 머신,10.0,20,3,43
남성,60대 이상,85.0,상급자,스트렝스,어시스트 풀업 머신,137.5,4,5,157
여성,50대,70.0,상급자,스트렝스,오버헤드 프레스,52.5,3,4,164
여성,40대,45.2,중급자,다이어트,시티드 로우 머신,20.0,18,3,59
남성,30대,68.7,상급자,근비대,어시스트 풀업 머신,95.0,12,3,75
남성,20대,67.7,초보자,재활/건강,사이드 레터럴 레이즈,7.5,19,2,114
여성,30대,56.3,중급자,다이어트,인클라인 덤벨 프레스,15.0,20,3,53
남성,10대,70.0,상급자,근비대,펙덱 플라이 머신,95.0,9,3,76
여성,30대,51.9,초보자,다이어트,시티드 로우 머신,12.5,16,3,56
남성,60대 이상,81.7,상급자,근비대,어시스트 풀업 머신,110.0,9,4,75
남성,50대,82.8,중급자,재활/건강,레그 익스텐션 머신,35.0,16,2,106
여성,20대,46.1,초보자,스트렝스,레그 프레스 머신,15.0,3,4,164
여성,40대,54.9,초보자,다이어트,인클라인 덤벨 프레스,7.5,15,3,40
여성,50대,55.2,상급자,다이어트,레그 프레스 머신,37.5,16,3,35
여성,30대,52.4,상급자,근비대,레그 컬 머신,45.0,11,4,61
여성,40대,68.7,초보자,재활/건강,레그 프레스 머신,10.0,18,2,102
남성,10대,84.7,중급자,재활/건강,워킹 런지,25.0,17,2,100
남성,10대,69.8,상급자,근비대,레그 익스텐션 머신,97.5,12,4,88
남성,20대,89.1,중급자,재활/건강,어시스트 풀업 머신,32.5,17,2,91
여성,50대,56.9,초보자,재활/건강,인클라인 덤벨 프레스,5.0,19,2,109
남성,10대,87.8,상급자,다이어트,인클라인 덤벨 프레스,60.0,17,3,35
남성,30대,64.7,중급자,다이어트,바벨 스쿼트,30.0,18,3,41
여성,60대 이상,58.5,중급자,스트렝스,레그 익스텐션 머신,37.5,4,4,167
남성,60대 이상,73.1,상급자,스트렝스,레그 프레스 머신,125.0,3,4,152
남성,20대,81.4,상급자,근비대,바벨 스쿼트,70.0,9,3,87
남성,30대,66.3,상급자,다이어트,벤치프레스,45.0,20,3,50
남성,20대,81.0,상급자,재활/건강,페이스 풀,35.0,18,3,96
여성,20대,54.4,중급자,다이어트,랫 풀다운 머신,20.0,19,3,51
남성,10대,68.5,상급자,스트렝스,숄더 프레스 머신,107.5,3,4,171
여성,60대 이상,58.6,상급자,스트렝스,시티드 로우 머신,62.5,4,5,149
남성,10대,81.1,상급자,재활/건강,체스트 프레스 머신,45.0,18,2,106
남성,40대,83.0,초보자,스트렝스,오버헤드 프레스,32.5,4,5,127
여성,10대,37.9,상급자,스트렝스,인클라인 덤벨 프레스,27.5,5,4,151
여성,30대,58.6,중급자,재활/건강,루마니안 데드리프트,10.0,19,2,118
여성,30대,45.4,상급자,스트렝스,레그 프레스 머신,47.5,5,5,154
남성,60대 이상,84.4,초보자,재활/건강,오버헤드 프레스,12.5,19,2,114
남성,40대,67.3,상급자,스트렝스,오버헤드 프레스,72.5,3,4,136
남성,30대,88.1,상급자,스트렝스,레그 프레스 머신,147.5,5,5,177
여성,50대,62.9,상급자,다이어트,체스트 프레스 머신,45.0,15,3,36
남성,50대,84.7,중급자,근비대,워킹 런지,52.5,9,3,63
여성,60대 이상,59.6,상급자,스트렝스,오버헤드 프레스,40.0,3,4,151
남성,20대,83.4,상급자,근비대,오버헤드 프레스,77.5,12,3,83
남성,30대,61.5,중급자,근비대,오버헤드 프레스,37.5,8,4,81
남성,40대,73.2,상급자,근비대,페이스 풀,65.0,9,4,82
여성,30대,50.6,상급자,재활/건강,시티드 로우 머신,22.5,20,3,105
여성,40대,57.4,초보자,근비대,사이드 레터럴 레이즈,10.0,9,4,72
남성,20대,77.7,중급자,재활/건강,워킹 런지,22.5,19,3,106
남성,50대,85.3,상급자,재활/건강,바벨 로우,30.0,15,3,104
남성,30대,78.3,상급자,재활/건강,바벨 로우,30.0,17,3,103
남성,50대,57.8,중급자,근비대,숄더 프레스 머신,52.5,9,3,62
여성,10대,46.3,중급자,재활/건강,체스트 프레스 머신,12.5,19,3,114
여성,50대,75.1,중급자,스트렝스,펙덱 플라이 머신,50.0,3,4,175
남성,30대,80.3,상급자,재활/건강,숄더 프레스 머신,52.5,15,3,120
남성,20대,79.1,초보자,스트렝스,레그 익스텐션 머신,42.5,5,5,122
남성,10대,63.9,중급자,재활/건강,바벨 로우,17.5,18,3,104
남성,40대,96.6,상급자,근비대,어시스트 풀업 머신,132.5,12,3,71
여성,60대 이상,57.7,상급자,스트렝스,오버헤드 프레스,40.0,4,4,149
남성,60대 이상,81.1,상급자,스트렝스,인클라인 덤벨 프레스,85.0,4,4,120
남성,60대 이상,92.7,상급자,다이어트,레그 익스텐션 머신,95.0,19,3,55
남성,50대,78.4,초보자,다이어트,사이드 레터럴 레이즈,17.5,18,3,55
남성,30대,69.3,중급자,스트렝스,인클라인 덤벨 프레스,52.5,4,5,134
남성,10대,62.9,상급자,근비대,벤치프레스,55.0,9,3,81
남성,10대,91.9,상급자,재활/건강,레그 프레스 머신,50.0,15,2,116
남성,40대,71.5,초보자,재활/건강,체스트 프레스 머신,15.0,16,2,101
남성,20대,75.3,초보자,근비대,레그 프레스 머신,32.5,9,3,90
남성,60대 이상,60.3,초보자,스트렝스,어시스트 풀업 머신,32.5,4,4,157
남성,40대,68.1,상급자,재활/건강,벤치프레스,27.5,20,2,106
남성,60대 이상,87.7,초보자,다이어트,레그 프레스 머신,30.0,19,3,58
여성,60대 이상,53.7,초보자,근비대,바벨 로우,10.0,12,3,77
여성,50대,52.2,초보자,다이어트,랫 풀다운 머신,10.0,15,3,33
여성,30대,58.5,초보자,근비대,페이스 풀,10.0,11,3,69
남성,40대,74.9,상급자,근비대,오버헤드 프레스,65.0,12,3,61
남성,60대 이상,81.6,초보자,재활/건강,레그 익스텐션 머신,17.5,18,3,106
남성,40대,82.3,중급자,스트렝스,페이스 풀,60.0,4,4,178
남성,10대,61.6,상급자,다이어트,레그 프레스 머신,60.0,16,3,54
여성,30대,51.1,상급자,근비대,체스트 프레스 머신,50.0,12,4,62
여성,60대 이상,54.6,중급자,재활/건강,랫 풀다운 머신,12.5,16,2,90
남성,50대,72.4,상급자,근비대,바벨 로우,65.0,10,4,60
여성,10대,60.6,초보자,재활/건강,레그 컬 머신,7.5,18,3,102
여성,40대,52.4,상급자,근비대,랫 풀다운 머신,45.0,11,3,69
남성,60대 이상,96.5,상급자,다이어트,레그 프레스 머신,105.0,19,3,50
남성,50대,88.8,초보자,다이어트,레그 프레스 머신,27.5,20,3,40
여성,60대 이상,50.6,초보자,재활/건강,바벨 로우,5.0,16,3,94
남성,20대,77.6,초보자,다이어트,바벨 로우,17.5,20,3,49
여성,50대,65.1,초보자,재활/건강,펙덱 플라이 머신,10.0,18,2,114
남성,30대,75.6,상급자,스트렝스,어시스트 풀업 머신,127.5,3,5,168
남성,30대,77.9,초보자,다이어트,오버헤드 프레스,17.5,15,3,55
남성,30대,75.1,중급자,다이어트,레그 익스텐션 머신,50.0,18,3,39
여성,60대 이상,64.9,중급자,스트렝스,레그 익스텐션 머신,45.0,4,5,138
여성,20대,54.0,상급자,재활/건강,바벨 스쿼트,12.5,17,2,112
남성,10대,73.0,중급자,근비대,바벨 로우,47.5,11,3,69
여성,30대,43.6,상급자,스트렝스,바벨 스쿼트,30.0,4,5,126
남성,30대,76.3,초보자,근비대,레그 익스텐션 머신,32.5,12,3,73
여성,10대,59.2,상급자,근비대,사이드 레터럴 레이즈,37.5,11,4,68
여성,60대 이상,48.0,초보자,재활/건강,사이드 레터럴 레이즈,5.0,15,3,103
남성,20대,96.2,중급자,재활/건강,루마니안 데드리프트,25.0,16,3,102
여성,10대,47.0,초보자,근비대,체스트 프레스 머신,12.5,11,3,74
남성,30대,81.7,초보자,스트렝스,오버헤드 프레스,27.5,5,4,138
남성,50대,59.8,중급자,근비대,체스트 프레스 머신,52.5,9,4,60
남성,60대 이상,84.2,중급자,다이어트,루마니안 데드리프트,37.5,15,3,43
여성,20대,59.3,중급자,근비대,오버헤드 프레스,22.5,10,3,71
남성,20대,71.2,상급자,스트렝스,페이스 풀,77.5,5,4,163
남성,40대,77.2,중급자,재활/건강,랫 풀다운 머신,35.0,17,2,112
남성,20대,61.3,초보자,근비대,시티드 로우 머신,25.0,8,3,66
여성,10대,60.0,중급자,스트렝스,체스트 프레스 머신,37.5,5,4,143
여성,20대,64.8,중급자,다이어트,체스트 프레스 머신,27.5,20,3,43
여성,50대,63.3,상급자,근비대,레그 프레스 머신,55.0,8,3,69
여성,30대,66.0,상급자,근비대,워킹 런지,40.0,11,3,83
여성,30대,57.6,상급자,재활/건강,인클라인 덤벨 프레스,17.5,15,2,115
남성,20대,67.3,중급자,다이어트,페이스 풀,30.0,16,3,33
여성,60대 이상,42.4,초보자,근비대,펙덱 플라이 머신,12.5,10,3,60
여성,50대,58.7,중급자,근비대,오버헤드 프레스,20.0,11,4,84
여성,60대 이상,55.8,상급자,스트렝스,인클라인 덤벨 프레스,37.5,5,4,147
남성,60대 이상,92.4,상급자,다이어트,페이스 풀,57.5,15,3,41
남성,50대,66.2,초보자,스트렝스,레그 컬 머신,37.5,5,5,129
여성,30대,58.5,중급자,근비대,시티드 로우 머신,32.5,9,3,76
여성,40대,64.3,상급자,근비대,레그 익스텐션 머신,60.0,11,3,81
남성,10대,59.1,초보자,근비대,시티드 로우 머신,27.5,9,4,69
남성,50대,62.6,중급자,근비대,벤치프레스,37.5,12,4,81
여성,60대 이상,44.9,중급자,스트렝스,바벨 로우,20.0,4,5,171
남성,60대 이상,66.5,상급자,스트렝스,랫 풀다운 머신,110.0,5,5,122
남성,40대,86.1,초보자,근비대,루마니안 데드리프트,25.0,9,4,82
남성,40대,67.2,상급자,재활/건강,숄더 프레스 머신,42.5,16,3,119
여성,20대,55.9,상급자,근비대,체스트 프레스 머신,47.5,9,4,71
남성,20대,88.8,초보자,스트렝스,숄더 프레스 머신,45.0,4,5,166
남성,60대 이상,74.1,상급자,다이어트,체스트 프레스 머신,72.5,16,3,48
여성,30대,70.1,초보자,다이어트,숄더 프레스 머신,15.0,15,3,47
여성,30대,49.1,중급자,스트렝스,체스트 프레스 머신,32.5,4,5,175
여성,50대,64.5,초보자,스트렝스,랫 풀다운 머신,22.5,5,5,163
남성,20대,66.0,상급자,스트렝스,레그 익스텐션 머신,112.5,3,5,125
여성,40대,49.2,중급자,스트렝스,사이드 레터럴 레이즈,22.5,3,4,151
여성,20대,50.6,중급자,근비대,레그 프레스 머신,27.5,10,3,68
남성,50대,89.5,상급자,스트렝스,오버헤드 프레스,100.0,3,5,140
남성,10대,65.8,중급자,스트렝스,벤치프레스,47.5,5,5,176
여성,30대,56.4,중급자,스트렝스,사이드 레터럴 레이즈,25.0,5,4,130
남성,30대,76.5,상급자,다이어트,바벨 로우,50.0,17,3,53
남성,50대,53.8,상급자,근비대,어시스트 풀업 머신,75.0,9,3,82
남성,30대,64.4,상급자,다이어트,인클라인 덤벨 프레스,45.0,19,3,31
남성,40대,61.3,상급자,근비대,레그 컬 머신,85.0,8,4,73
남성,10대,77.7,중급자,근비대,워킹 런지,47.5,9,4,81
여성,40대,60.0,중급자,근비대,시티드 로우 머신,35.0,11,4,82
남성,20대,85.0,중급자,스트렝스,바벨 스쿼트,60.0,4,4,154
남성,30대,82.8,상급자,다이어트,랫 풀다운 머신,77.5,20,3,35
여성,20대,63.4,초보자,근비대,인클라인 덤벨 프레스,12.5,10,3,81
여성,40대,60.9,상급자,다이어트,숄더 프레스 머신,37.5,16,3,60
남성,40대,86.4,중급자,근비대,숄더 프레스 머신,77.5,11,4,88
여성,60대 이상,54.9,중급자,스트렝스,인클라인 덤벨 프레스,25.0,3,4,154
여성,30대,64.0,중급자,근비대,숄더 프레스 머신,37.5,11,3,84
여성,30대,56.2,중급자,근비대,어시스트 풀업 머신,32.5,11,3,84
남성,50대,66.7,중급자,스트렝스,사이드 레터럴 레이즈,47.5,3,4,122
여성,60대 이상,57.9,상급자,재활/건강,워킹 런지,17.5,20,2,94
여성,50대,60.3,초보자,재활/건강,레그 익스텐션 머신,7.5,18,3,94
남성,50대,63.9,중급자,스트렝스,사이드 레터럴 레이즈,47.5,5,4,161
남성,10대,88.6,초보자,다이어트,인클라인 덤벨 프레스,17.5,18,3,45
남성,20대,75.5,상급자,재활/건강,루마니안 데드리프트,27.5,16,2,99
여성,50대,48.4,상급자,다이어트,펙덱 플라이 머신,30.0,16,3,48
남성,20대,81.1,상급자,근비대,레그 프레스 머신,115.0,8,4,84
여성,40대,56.8,초보자,근비대,사이드 레터럴 레이즈,10.0,9,4,75
남성,50대,69.5,상급자,근비대,벤치프레스,65.0,12,3,88
남성,20대,66.5,상급자,근비대,레그 익스텐션 머신,87.5,12,4,62
남성,60대 이상,84.4,상급자,재활/건강,인클라인 덤벨 프레스,37.5,18,3,118
여성,50대,57.3,상급자,스트렝스,바벨 스쿼트,42.5,5,5,177
여성,50대,51.0,중급자,다이어트,워킹 런지,15.0,19,3,40
여성,60대 이상,52.3,중급자,재활/건강,바벨 스쿼트,10.0,15,3,105
여성,40대,64.0,초보자,스트렝스,숄더 프레스 머신,20.0,3,5,141
여성,30대,53.3,초보자,재활/건강,벤치프레스,5.0,17,2,104
남성,20대,90.2,중급자,재활/건강,페이스 풀,27.5,19,2,91
여성,20대,58.1,초보자,스트렝스,레그 익스텐션 머신,17.5,3,5,127
남성,60대 이상,69.2,상급자,스트렝스,페이스 풀,72.5,4,5,122
여성,60대 이상,48.1,상급자,근비대,어시스트 풀업 머신,45.0,8,4,73
남성,30대,77.4,중급자,스트렝스,바벨 스쿼트,57.5,3,5,142
여성,40대,53.3,초보자,근비대,바벨 스쿼트,10.0,8,4,84
남성,50대,87.5,상급자,스트렝스,레그 익스텐션 머신,147.5,3,5,144
남성,10대,79.0,상급자,근비대,워킹 런지,70.0,10,3,67
남성,30대,85.3,초보자,근비대,어시스트 풀업 머신,37.5,10,3,90
남성,10대,78.4,상급자,스트렝스,페이스 풀,80.0,3,4,140
여성,10대,51.7,상급자,재활/건강,랫 풀다운 머신,20.0,19,2,116
여성,30대,49.6,상급자,다이어트,펙덱 플라이 머신,35.0,16,3,45
남성,50대,70.6,중급자,근비대,바벨 로우,42.5,12,3,81
남성,50대,58.8,중급자,다이어트,바벨 스쿼트,27.5,15,3,30
여성,60대 이상,58.3,상급자,스트렝스,레그 컬 머신,62.5,3,4,135
여성,50대,53.9,초보자,근비대,벤치프레스,10.0,12,3,67
남성,60대 이상,74.3,초보자,재활/건강,어시스트 풀업 머신,15.0,15,3,112
여성,60대 이상,71.9,초보자,다이어트,바벨 스쿼트,10.0,16,3,54
여성,50대,52.1,초보자,다이어트,오버헤드 프레스,7.5,16,3,48
여성,60대 이상,53.4,중급자,재활/건강,체스트 프레스 머신,12.5,15,2,111
여성,60대 이상,51.1,초보자,재활/건강,벤치프레스,5.0,18,3,94
여성,40대,46.4,초보자,다이어트,워킹 런지,7.5,18,3,53
여성,50대,62.1,중급자,근비대,페이스 풀,22.5,9,4,75
여성,20대,65.3,초보자,스트렝스,인클라인 덤벨 프레스,15.0,5,4,155
여성,40대,59.9,중급자,다이어트,오버헤드 프레스,17.5,20,3,59
여성,30대,56.3,상급자,다이어트,바벨 스쿼트,25.0,16,3,42
남성,20대,78.1,중급자,근비대,사이드 레터럴 레이즈,45.0,10,4,86
남성,40대,62.1,초보자,근비대,레그 익스텐션 머신,27.5,12,3,82
남성,50대,79.5,중급자,스트렝스,바벨 로우,57.5,4,5,170
여성,20대,59.3,중급자,다이어트,레그 컬 머신,22.5,19,3,60
여성,60대 이상,43.3,상급자,재활/건강,레그 프레스 머신,20.0,19,2,103
여성,60대 이상,49.9,초보자,재활/건강,페이스 풀,5.0,16,2,107
여성,10대,45.6,중급자,재활/건강,워킹 런지,10.0,15,2,91
여성,10대,48.9,초보자,재활/건강,워킹 런지,5.0,20,3,111
여성,40대,60.1,초보자,근비대,사이드 레터럴 레이즈,12.5,11,4,66
남성,30대,67.9,중급자,근비대,랫 풀다운 머신,62.5,9,4,65
여성,30대,50.0,상급자,근비대,페이스 풀,27.5,12,3,69
남성,50대,71.2,초보자,근비대,레그 컬 머신,30.0,9,4,75
여성,60대 이상,38.5,상급자,다이어트,사이드 레터럴 레이즈,17.5,18,3,46
남성,60대 이상,80.5,초보자,재활/건강,바벨 로우,12.5,15,2,113
여성,30대,49.3,중급자,스트렝스,루마니안 데드리프트,22.5,4,5,175
여성,10대,47.2,상급자,다이어트,루마니안 데드리프트,20.0,17,3,55
남성,60대 이상,66.1,초보자,스트렝스,루마니안 데드리프트,22.5,4,5,157
여성,60대 이상,54.5,초보자,스트렝스,오버헤드 프레스,12.5,3,5,165
여성,20대,60.5,상급자,다이어트,레그 컬 머신,42.5,17,3,30
여성,20대,56.3,초보자,근비대,바벨 로우,10.0,10,4,89
여성,30대,70.1,상급자,스트렝스,페이스 풀,50.0,5,5,135
여성,60대 이상,47.9,상급자,스트렝스,펙덱 플라이 머신,55.0,5,5,163
여성,60대 이상,62.6,상급자,스트렝스,벤치프레스,42.5,3,5,161
여성,60대 이상,59.2,상급자,재활/건강,페이스 풀,15.0,17,2,99
여성,50대,66.4,상급자,다이어트,페이스 풀,30.0,15,3,60
여성,50대,61.2,중급자,스트렝스,레그 익스텐션 머신,40.0,5,5,163
남성,10대,82.4,초보자,재활/건강,오버헤드 프레스,10.0,15,3,94
남성,40대,77.0,중급자,근비대,루마니안 데드리프트,45.0,10,3,83
여성,60대 이상,48.5,상급자,스트렝스,인클라인 덤벨 프레스,35.0,4,4,120
남성,20대,65.2,중급자,다이어트,벤치프레스,30.0,16,3,58
여성,60대 이상,56.5,초보자,재활/건강,인클라인 덤벨 프레스,5.0,16,3,101
남성,50대,73.7,초보자,근비대,레그 프레스 머신,32.5,10,4,72
여성,20대,54.2,중급자,근비대,레그 프레스 머신,27.5,8,3,80
여성,50대,65.5,상급자,다이어트,오버헤드 프레스,30.0,19,3,60
여성,50대,54.8,상급자,스트렝스,시티드 로우 머신,55.0,5,5,124
여성,40대,44.5,상급자,근비대,오버헤드 프레스,27.5,11,4,76
여성,20대,43.4,중급자,재활/건강,인클라인 덤벨 프레스,7.5,17,2,109
남성,60대 이상,67.9,초보자,근비대,펙덱 플라이 머신,30.0,11,4,63
여성,30대,65.1,상급자,다이어트,레그 익스텐션 머신,45.0,17,3,56
남성,50대,66.9,초보자,스트렝스,체스트 프레스 머신,35.0,5,4,134
남성,50대,81.4,초보자,근비대,펙덱 플라이 머신,35.0,11,4,81
남성,50대,84.9,초보자,다이어트,사이드 레터럴 레이즈,20.0,16,3,33
여성,60대 이상,54.3,초보자,근비대,어시스트 풀업 머신,15.0,10,3,72
남성,20대,66.1,중급자,스트렝스,체스트 프레스 머신,72.5,3,5,156
남성,50대,62.4,상급자,재활/건강,바벨 로우,22.5,16,3,104
여성,40대,56.3,중급자,근비대,시티드 로우 머신,30.0,12,4,62
남성,30대,66.3,초보자,근비대,워킹 런지,20.0,10,4,87
여성,20대,59.1,상급자,다이어트,바벨 스쿼트,27.5,18,3,45
여성,30대,47.6,상급자,다이어트,루마니안 데드리프트,22.5,16,3,56
여성,30대,54.0,초보자,다이어트,어시스트 풀업 머신,12.5,19,3,32
남성,20대,66.3,상급자,재활/건강,레그 익스텐션 머신,40.0,20,3,98
남성,10대,68.4,상급자,근비대,레그 컬 머신,87.5,9,4,88
여성,30대,56.4,초보자,근비대,워킹 런지,10.0,12,4,87
여성,50대,53.8,중급자,스트렝스,어시스트 풀업 머신,37.5,4,5,170
여성,30대,60.4,중급자,스트렝스,인클라인 덤벨 프레스,27.5,3,4,167
남성,10대,71.1,초보자,스트렝스,랫 풀다운 머신,37.5,5,5,143
남성,50대,79.7,초보자,스트렝스,인클라인 덤벨 프레스,27.5,4,5,137
남성,60대 이상,72.4,상급자,근비대,워킹 런지,65.0,8,3,70
남성,50대,87.2,초보자,근비대,벤치프레스,25.0,8,4,73
여성,30대,65.1,초보자,스트렝스,펙덱 플라이 머신,22.5,4,4,177
여성,60대 이상,55.6,상급자,재활/건강,오버헤드 프레스,17.5,20,2,119
여성,30대,52.4,초보자,재활/건강,루마니안 데드리프트,5.0,17,3,110
여성,20대,59.3,초보자,재활/건강,시티드 로우 머신,7.5,15,3,104
남성,20대,69.9,중급자,재활/건강,워킹 런지,17.5,16,2,105
여성,60대 이상,58.2,초보자,스트렝스,숄더 프레스 머신,20.0,4,4,171
남성,20대,67.2,초보자,스트렝스,숄더 프레스 머신,35.0,5,5,169
여성,10대,60.5,중급자,스트렝스,페이스 풀,25.0,4,4,124
남성,40대,70.0,초보자,다이어트,페이스 풀,15.0,17,3,32
여성,60대 이상,64.6,중급자,스트렝스,어시스트 풀업 머신,45.0,5,4,166
남성,50대,73.3,상급자,스트렝스,바벨 로우,82.5,3,4,121
남성,40대,85.0,상급자,스트렝스,레그 컬 머신,132.5,4,4,149
남성,30대,70.3,상급자,재활/건강,페이스 풀,32.5,17,2,96
남성,40대,78.8,상급자,근비대,시티드 로우 머신,100.0,10,4,64
남성,60대 이상,76.6,초보자,다이어트,사이드 레터럴 레이즈,15.0,19,3,42
남성,60대 이상,110.0,상급자,다이어트,펙덱 플라이 머신,112.5,19,3,45
여성,60대 이상,57.5,상급자,다이어트,레그 컬 머신,37.5,18,3,51
남성,10대,77.1,상급자,스트렝스,오버헤드 프레스,80.0,4,4,123
남성,30대,75.6,상급자,다이어트,사이드 레터럴 레이즈,50.0,17,3,41
여성,30대,67.9,상급자,다이어트,페이스 풀,30.0,15,3,41
여성,30대,70.7,상급자,재활/건강,펙덱 플라이 머신,32.5,19,3,94
여성,60대 이상,48.9,중급자,다이어트,인클라인 덤벨 프레스,12.5,19,3,39
남성,60대 이상,83.7,중급자,스트렝스,오버헤드 프레스,60.0,4,5,121
여성,20대,47.3,초보자,다이어트,숄더 프레스 머신,10.0,19,3,38
남성,50대,69.1,초보자,근비대,레그 컬 머신,30.0,8,3,64
여성,30대,43.1,초보자,근비대,사이드 레터럴 레이즈,7.5,11,3,68
남성,20대,72.1,중급자,근비대,인클라인 덤벨 프레스,42.5,8,4,82
남성,40대,91.1,초보자,다이어트,체스트 프레스 머신,30.0,20,3,43
남성,50대,75.6,상급자,재활/건강,바벨 스쿼트,30.0,16,2,110
남성,60대 이상,69.4,초보자,스트렝스,어시스트 풀업 머신,37.5,4,5,170
남성,50대,89.0,상급자,다이어트,숄더 프레스 머신,85.0,17,3,38
여성,40대,63.7,중급자,재활/건강,레그 익스텐션 머신,15.0,18,3,99
남성,60대 이상,63.5,상급자,스트렝스,사이드 레터럴 레이즈,67.5,5,5,120
남성,50대,73.1,상급자,재활/건강,펙덱 플라이 머신,45.0,16,3,96
여성,40대,50.6,초보자,근비대,워킹 런지,10.0,12,3,81
남성,50대,78.7,초보자,스트렝스,시티드 로우 머신,42.5,5,5,141
남성,60대 이상,66.2,상급자,근비대,바벨 로우,62.5,12,3,86
남성,50대,87.8,중급자,다이어트,루마니안 데드리프트,37.5,15,3,38
여성,40대,51.5,중급자,재활/건강,레그 컬 머신,12.5,19,3,97
여성,10대,67.9,상급자,스트렝스,워킹 런지,50.0,4,4,131
남성,30대,59.4,초보자,근비대,페이스 풀,17.5,9,3,61
여성,10대,48.5,초보자,근비대,레그 프레스 머신,12.5,9,4,77
남성,10대,91.6,중급자,재활/건강,체스트 프레스 머신,35.0,20,2,92
여성,20대,54.8,중급자,다이어트,바벨 스쿼트,15.0,19,3,49
여성,30대,47.5,초보자,스트렝스,오버헤드 프레스,10.0,5,5,129
여성,30대,39.6,초보자,다이어트,바벨 스쿼트,5.0,17,3,33
여성,30대,63.9,상급자,근비대,시티드 로우 머신,55.0,9,4,80
여성,40대,72.9,중급자,다이어트,오버헤드 프레스,20.0,15,3,30
남성,20대,73.7,초보자,근비대,펙덱 플라이 머신,35.0,8,4,65
여성,40대,52.4,초보자,근비대,인클라인 덤벨 프레스,10.0,8,4,82
남성,40대,77.1,상급자,스트렝스,루마니안 데드리프트,82.5,4,5,142
여성,40대,40.0,초보자,재활/건강,오버헤드 프레스,2.5,17,3,114
여성,50대,60.3,상급자,재활/건강,펙덱 플라이 머신,25.0,15,3,111
